file|name|version|package|confidence|size_mb|methods_used
Stagecoach Caravan Defender v0.0.1.apk|Stagecoach Caravan Defender|0.0.1|com.zeptolab.caravandefender|3|48.41|aapt, aapt_resources, manifest
Steel Revolt v1.0.ipa|Steel Revolt|1.0|com.zeptolab.betterthanyou|4|54.7|main_plist, plutil, alt_plist_2, alt_plist_3, alt_plist_4
Steel Revolt v1.12.ipa|Steel Revolt|1.12|com.zeptolab.steel-revolt|4|152.07|main_plist, plutil, alt_plist_2, alt_plist_3, alt_plist_4
Steel Revolt v1.15.ipa|Steel Revolt|1.15|com.zeptolab.steel-revolt|4|155.94|main_plist, plutil, alt_plist_2, alt_plist_3, alt_plist_4
Steel Revolt v1.3.apk|Steel Revolt|1.3|com.harrisleodev.steelrevolt|3|107.08|aapt, aapt_resources, manifest
Steel Revolt v1.12.apk|Steel Revolt|1.12|com.pantelisdev.steelrevolt|3|188.42|aapt, aapt_resources, manifest
Steel Revolt v1.5.apk|Steel Revolt|1.5|com.pantelisdev.steelrevolt|3|241.51|aapt, aapt_resources, manifest
Steel Revolt v1.7.apk|Steel Revolt|1.7|com.pantelisdev.steelrevolt|3|241.98|aapt, aapt_resources, manifest
Steel Revolt v1.7.ipa|Steel Revolt|1.7|com.zeptolab.steel-revolt|4|117.06|main_plist, plutil, alt_plist_2, alt_plist_3
Steel Revolt v1.15.apk|Steel Revolt|1.15|com.pantelisdev.steelrevolt|3|308.53|aapt, aapt_resources, manifest
Steel Revolt v1.8.apk|Steel Revolt|1.8|com.pantelisdev.steelrevolt|3|247.78|aapt, aapt_resources, manifest
Steel Revolt v1.8.ipa|Steel Revolt|1.8|com.zeptolab.steel-revolt|4|126.26|main_plist, plutil, alt_plist_2, alt_plist_3, alt_plist_4
